cps19_citizenship,cps19_yob,cps19_province,cps19_votechoice,cps19_education,cps19_gender,vote_liberal,age,age_bracket,province_q,education_q,income_bracket,sex
Canadian citizen,1975,Quebec,Conservative Party,Some university,A man,0,45,2,2,2,1,1
Canadian citizen,1954,British Columbia,Liberal Party,Bachelor's degree,A man,1,66,3,5,3,1,1
Canadian citizen,1957,Ontario,Conservative Party,Bachelor's degree,A man,0,63,3,3,3,1,1
Canadian citizen,1977,Alberta,Liberal Party,Bachelor's degree,A man,1,43,2,4,3,1,1
Canadian citizen,1987,Ontario,Liberal Party,Bachelor's degree,A man,1,33,1,3,3,2,1
Canadian citizen,1952,British Columbia,Liberal Party,Bachelor's degree,A woman,1,68,3,5,3,1,0
Canadian citizen,1972,Ontario,Conservative Party,Bachelor's degree,A man,0,48,2,3,3,1,1
Canadian citizen,1989,Ontario,Liberal Party,Bachelor's degree,A man,1,31,1,3,3,1,1
Canadian citizen,1960,Quebec,Conservative Party,Completed secondary/ high school,A man,0,60,2,2,2,2,1
Canadian citizen,1954,Ontario,Liberal Party,"Some technical, community college, CEGEP, College Classique",A woman,1,66,3,3,2,1,0
Canadian citizen,1972,Alberta,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,48,2,4,2,1,0
Canadian citizen,1955,Manitoba,Liberal Party,Bachelor's degree,A woman,1,65,3,4,3,2,0
Canadian citizen,1955,Newfoundland and Labrador,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,65,3,1,2,1,0
Canadian citizen,1954,Saskatchewan,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A man,1,66,3,4,2,2,1
Canadian citizen,1943,Quebec,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,77,3,2,2,1,0
Canadian citizen,1964,Quebec,Conservative Party,Bachelor's degree,A man,0,56,2,2,3,1,1
Canadian citizen,1956,Saskatchewan,Conservative Party,Bachelor's degree,A man,0,64,3,4,3,3,1
Canadian citizen,1981,Ontario,Conservative Party,Master's degree,A woman,0,39,1,3,3,1,0
Canadian citizen,1951,British Columbia,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,69,3,5,2,2,1
Canadian citizen,1952,Alberta,Conservative Party,Bachelor's degree,A man,0,68,3,4,3,2,1
Canadian citizen,1960,Quebec,Conservative Party,Master's degree,A man,0,60,2,2,3,2,1
Canadian citizen,1991,Ontario,Liberal Party,Bachelor's degree,A man,1,29,1,3,3,2,1
Canadian citizen,1956,Ontario,Liberal Party,Some university,A man,1,64,3,3,2,1,1
Canadian citizen,1958,Alberta,Conservative Party,Bachelor's degree,A man,0,62,3,4,3,1,1
Canadian citizen,1990,Quebec,Conservative Party,Bachelor's degree,A woman,0,30,1,2,3,1,0
Canadian citizen,1946,Ontario,Conservative Party,Some university,A man,0,74,3,3,2,1,1
Canadian citizen,1950,Ontario,Conservative Party,Some secondary/ high school,A woman,0,70,3,3,1,1,0
Canadian citizen,1970,Quebec,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,50,2,2,2,1,0
Canadian citizen,1957,Ontario,Conservative Party,Completed secondary/ high school,A woman,0,63,3,3,2,1,0
Canadian citizen,1972,Nova Scotia,Conservative Party,Professional degree or doctorate,A man,0,48,2,1,3,2,1
Canadian citizen,1965,Ontario,Liberal Party,Bachelor's degree,A woman,1,55,2,3,3,1,0
Canadian citizen,1978,Manitoba,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,42,2,4,2,1,0
Canadian citizen,1985,Alberta,Conservative Party,Bachelor's degree,A woman,0,35,1,4,3,3,0
Canadian citizen,1953,British Columbia,Conservative Party,"Some technical, community college, CEGEP, College Classique",A woman,0,67,3,5,2,3,0
Canadian citizen,1971,Quebec,Liberal Party,"Some technical, community college, CEGEP, College Classique",A woman,1,49,2,2,2,1,0
Canadian citizen,1951,British Columbia,Liberal Party,Master's degree,A man,1,69,3,5,3,2,1
Canadian citizen,1966,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,54,2,3,2,1,0
Canadian citizen,1951,Nova Scotia,Liberal Party,Some university,A man,1,69,3,1,2,1,1
Canadian citizen,1954,Quebec,Liberal Party,Completed secondary/ high school,A woman,1,66,3,2,2,1,0
Canadian citizen,1991,Quebec,Liberal Party,Bachelor's degree,A woman,1,29,1,2,3,1,0
Canadian citizen,1984,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,36,1,3,2,1,0
Canadian citizen,1985,New Brunswick,Liberal Party,Bachelor's degree,A man,1,35,1,1,3,1,1
Canadian citizen,1963,Alberta,Conservative Party,Bachelor's degree,A man,0,57,2,4,3,1,1
Canadian citizen,1991,Ontario,Conservative Party,Bachelor's degree,A woman,0,29,1,3,3,3,0
Canadian citizen,1951,Quebec,Liberal Party,Completed secondary/ high school,A woman,1,69,3,2,2,1,0
Canadian citizen,1980,Ontario,Conservative Party,Bachelor's degree,A woman,0,40,1,3,3,2,0
Canadian citizen,1958,Alberta,Liberal Party,Some university,A man,1,62,3,4,2,1,1
Canadian citizen,1945,Ontario,Liberal Party,Some university,A man,1,75,3,3,2,1,1
Canadian citizen,1965,Manitoba,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,55,2,4,2,1,1
Canadian citizen,1979,Manitoba,Liberal Party,Professional degree or doctorate,A man,1,41,2,4,3,3,1
Canadian citizen,1959,Manitoba,Conservative Party,Completed secondary/ high school,A woman,0,61,3,4,2,2,0
Canadian citizen,1965,British Columbia,Liberal Party,Master's degree,A woman,1,55,2,5,3,3,0
Canadian citizen,1960,Quebec,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,60,2,2,2,1,1
Canadian citizen,1952,Ontario,Conservative Party,Bachelor's degree,A man,0,68,3,3,3,3,1
Canadian citizen,1968,Ontario,Conservative Party,Bachelor's degree,A man,0,52,2,3,3,1,1
Canadian citizen,1963,Quebec,Conservative Party,"Some technical, community college, CEGEP, College Classique",A woman,0,57,2,2,2,1,0
Canadian citizen,1959,Quebec,Liberal Party,Professional degree or doctorate,A woman,1,61,3,2,3,3,0
Canadian citizen,1938,Ontario,Conservative Party,Master's degree,A man,0,82,4,3,3,2,1
Canadian citizen,1956,Ontario,Conservative Party,Some university,A man,0,64,3,3,2,1,1
Canadian citizen,1954,Ontario,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,66,3,3,2,2,1
Canadian citizen,1947,Quebec,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,73,3,2,2,1,0
Canadian citizen,1938,Ontario,Conservative Party,Some secondary/ high school,A man,0,82,4,3,1,1,1
Canadian citizen,1982,Ontario,Conservative Party,Bachelor's degree,A man,0,38,1,3,3,1,1
Canadian citizen,1970,Ontario,Liberal Party,Bachelor's degree,A woman,1,50,2,3,3,1,0
Canadian citizen,1938,Ontario,Conservative Party,Some university,A man,0,82,4,3,2,1,1
Canadian citizen,1946,Ontario,Liberal Party,Some university,A man,1,74,3,3,2,3,1
Canadian citizen,1966,Ontario,Conservative Party,Bachelor's degree,A woman,0,54,2,3,3,2,0
Canadian citizen,1939,Ontario,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,81,4,3,2,3,1
Canadian citizen,1994,Ontario,Liberal Party,Bachelor's degree,A man,1,26,1,3,3,1,1
Canadian citizen,1983,Ontario,Liberal Party,Bachelor's degree,A man,1,37,1,3,3,1,1
Canadian citizen,1959,Ontario,Conservative Party,Completed secondary/ high school,A woman,0,61,3,3,2,1,0
Canadian citizen,1961,Ontario,Conservative Party,Bachelor's degree,A woman,0,59,2,3,3,1,0
Canadian citizen,1956,Quebec,Liberal Party,Bachelor's degree,A man,1,64,3,2,3,1,1
Canadian citizen,2000,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,20,1,3,2,1,0
Canadian citizen,1955,Quebec,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,65,3,2,2,1,1
Canadian citizen,1957,Ontario,Conservative Party,Bachelor's degree,A man,0,63,3,3,3,3,1
Canadian citizen,1953,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A man,1,67,3,3,2,1,1
Canadian citizen,1959,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,61,3,3,2,2,0
Canadian citizen,1964,Quebec,Conservative Party,Bachelor's degree,A man,0,56,2,2,3,3,1
Canadian citizen,1945,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A man,1,75,3,3,2,1,1
Canadian citizen,1946,Ontario,Conservative Party,Professional degree or doctorate,A man,0,74,3,3,3,1,1
Canadian citizen,1977,Quebec,Liberal Party,Completed elementary school,A woman,1,43,2,2,1,1,0
Canadian citizen,1983,Ontario,Liberal Party,Completed secondary/ high school,A man,1,37,1,3,2,1,1
Canadian citizen,1969,Ontario,Conservative Party,Bachelor's degree,A woman,0,51,2,3,3,1,0
Canadian citizen,1977,Ontario,Liberal Party,Bachelor's degree,A man,1,43,2,3,3,3,1
Canadian citizen,1987,Alberta,Conservative Party,Bachelor's degree,A man,0,33,1,4,3,1,1
Canadian citizen,1963,Ontario,Liberal Party,Bachelor's degree,A man,1,57,2,3,3,3,1
Canadian citizen,1959,Ontario,Liberal Party,Bachelor's degree,A man,1,61,3,3,3,3,1
Canadian citizen,1955,Newfoundland and Labrador,Conservative Party,Bachelor's degree,A man,0,65,3,1,3,1,1
Canadian citizen,1991,Ontario,Liberal Party,Master's degree,A man,1,29,1,3,3,1,1
Canadian citizen,1947,Ontario,Liberal Party,Bachelor's degree,A man,1,73,3,3,3,1,1
Canadian citizen,1979,Ontario,Conservative Party,Master's degree,A woman,0,41,2,3,3,2,0
Canadian citizen,1941,Ontario,Liberal Party,Master's degree,A woman,1,79,3,3,3,1,0
Canadian citizen,1960,Quebec,Conservative Party,Completed secondary/ high school,A man,0,60,2,2,2,1,1
Canadian citizen,1980,Ontario,Conservative Party,Bachelor's degree,A man,0,40,1,3,3,2,1
Canadian citizen,1972,Quebec,Conservative Party,Some university,A woman,0,48,2,2,2,1,0
Canadian citizen,1951,New Brunswick,Conservative Party,Completed secondary/ high school,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",0,69,3,1,2,1,0
Canadian citizen,1976,Ontario,Conservative Party,Completed secondary/ high school,A man,0,44,2,3,2,1,1
Canadian citizen,1957,Quebec,Conservative Party,Bachelor's degree,A woman,0,63,3,2,3,1,0
Canadian citizen,1951,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,69,3,3,2,3,0
Canadian citizen,1957,Quebec,Conservative Party,Bachelor's degree,A woman,0,63,3,2,3,1,0
Canadian citizen,1986,Ontario,Liberal Party,"Some technical, community college, CEGEP, College Classique",A woman,1,34,1,3,2,1,0
Canadian citizen,1940,New Brunswick,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,80,3,1,2,1,1
Canadian citizen,1985,Prince Edward Island,Conservative Party,Completed secondary/ high school,A man,0,35,1,1,2,1,1
Canadian citizen,1972,Ontario,Liberal Party,Professional degree or doctorate,A man,1,48,2,3,3,3,1
Canadian citizen,1973,Ontario,Conservative Party,Bachelor's degree,A man,0,47,2,3,3,1,1
Canadian citizen,1983,Alberta,Liberal Party,Some secondary/ high school,A man,1,37,1,4,1,1,1
Canadian citizen,1989,Ontario,Liberal Party,Professional degree or doctorate,A woman,1,31,1,3,3,1,0
Canadian citizen,1967,Ontario,Liberal Party,Master's degree,A woman,1,53,2,3,3,2,0
Canadian citizen,1945,Ontario,Conservative Party,Completed secondary/ high school,A woman,0,75,3,3,2,1,0
Canadian citizen,1948,Ontario,Liberal Party,Bachelor's degree,A man,1,72,3,3,3,1,1
Canadian citizen,1954,Nova Scotia,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,66,3,1,2,1,1
Canadian citizen,1933,Ontario,Liberal Party,Bachelor's degree,A woman,1,87,4,3,3,1,0
Canadian citizen,1946,Ontario,Liberal Party,Bachelor's degree,A man,1,74,3,3,3,1,1
Canadian citizen,1947,Ontario,Conservative Party,Completed secondary/ high school,A woman,0,73,3,3,2,1,0
Canadian citizen,1958,Prince Edward Island,Liberal Party,Master's degree,A man,1,62,3,1,3,3,1
Canadian citizen,1962,Ontario,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,58,2,3,2,3,0
Canadian citizen,1988,Newfoundland and Labrador,Liberal Party,"Some technical, community college, CEGEP, College Classique",A man,1,32,1,1,2,1,1
Canadian citizen,1956,Ontario,Liberal Party,Bachelor's degree,A woman,1,64,3,3,3,3,0
Canadian citizen,1947,Ontario,Liberal Party,"Some technical, community college, CEGEP, College Classique",A man,1,73,3,3,2,1,1
Canadian citizen,1966,Ontario,Conservative Party,Completed secondary/ high school,A man,0,54,2,3,2,2,1
Canadian citizen,1996,Alberta,Conservative Party,Bachelor's degree,A man,0,24,1,4,3,1,1
Canadian citizen,1960,Newfoundland and Labrador,Liberal Party,Bachelor's degree,A man,1,60,2,1,3,3,1
Canadian citizen,1946,Ontario,Liberal Party,Some secondary/ high school,A man,1,74,3,3,1,1,1
Canadian citizen,1950,Quebec,Liberal Party,Some university,A woman,1,70,3,2,2,1,0
Canadian citizen,1962,Quebec,Liberal Party,Bachelor's degree,A woman,1,58,2,2,3,3,0
Canadian citizen,1946,Newfoundland and Labrador,Conservative Party,"Some technical, community college, CEGEP, College Classique",A woman,0,74,3,1,2,1,0
Canadian citizen,1967,Quebec,Conservative Party,"Some technical, community college, CEGEP, College Classique",A woman,0,53,2,2,2,1,0
Canadian citizen,1940,Nova Scotia,Conservative Party,Completed secondary/ high school,A man,0,80,3,1,2,1,1
Canadian citizen,1949,Ontario,Liberal Party,Bachelor's degree,A woman,1,71,3,3,3,3,0
Canadian citizen,1920,Ontario,Liberal Party,Professional degree or doctorate,A woman,1,100,4,3,3,1,0
Canadian citizen,1954,Quebec,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,66,3,2,2,1,1
Canadian citizen,1980,Quebec,Liberal Party,Bachelor's degree,A woman,1,40,1,2,3,2,0
Canadian citizen,1984,Alberta,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,36,1,4,2,1,1
Canadian citizen,1952,Ontario,Liberal Party,Bachelor's degree,A man,1,68,3,3,3,1,1
Canadian citizen,1963,Ontario,Conservative Party,Bachelor's degree,A woman,0,57,2,3,3,1,0
Canadian citizen,1987,Ontario,Liberal Party,Bachelor's degree,A woman,1,33,1,3,3,1,0
Canadian citizen,1956,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A man,1,64,3,3,2,1,1
Canadian citizen,1943,Ontario,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,77,3,3,2,2,0
Canadian citizen,1960,Quebec,Liberal Party,Some university,A woman,1,60,2,2,2,1,0
Canadian citizen,1959,Quebec,Conservative Party,Completed secondary/ high school,A woman,0,61,3,2,2,1,0
Canadian citizen,1963,Quebec,Liberal Party,"Some technical, community college, CEGEP, College Classique",A woman,1,57,2,2,2,1,0
Canadian citizen,1958,Ontario,Liberal Party,Bachelor's degree,A woman,1,62,3,3,3,3,0
Canadian citizen,1951,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,69,3,3,2,1,0
Canadian citizen,1980,Ontario,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,40,1,3,2,1,1
Canadian citizen,1981,Quebec,Conservative Party,Completed secondary/ high school,A woman,0,39,1,2,2,1,0
Canadian citizen,1974,Quebec,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,46,2,2,2,3,0
Canadian citizen,1969,New Brunswick,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,51,2,1,2,1,0
Canadian citizen,1948,Newfoundland and Labrador,Liberal Party,"Some technical, community college, CEGEP, College Classique",A man,1,72,3,1,2,1,1
Canadian citizen,1970,Ontario,Liberal Party,Bachelor's degree,A man,1,50,2,3,3,1,1
Canadian citizen,1965,Ontario,Conservative Party,Bachelor's degree,A woman,0,55,2,3,3,2,0
Canadian citizen,1968,Quebec,Conservative Party,Completed secondary/ high school,A woman,0,52,2,2,2,1,0
Canadian citizen,1958,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,62,3,3,2,3,0
Canadian citizen,1963,Ontario,Conservative Party,Bachelor's degree,A man,0,57,2,3,3,3,1
Canadian citizen,1955,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A man,1,65,3,3,2,1,1
Canadian citizen,1975,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,45,2,3,2,1,0
Canadian citizen,1967,British Columbia,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,53,2,5,2,1,1
Canadian citizen,1971,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique","Other (e.g. Trans, non-binary, two-spirit, gender-queer)",1,49,2,3,2,1,0
Canadian citizen,1962,Quebec,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,58,2,2,2,1,1
Canadian citizen,1937,Ontario,Conservative Party,Completed secondary/ high school,A woman,0,83,4,3,2,1,0
Canadian citizen,1969,Newfoundland and Labrador,Liberal Party,Master's degree,A woman,1,51,2,1,3,3,0
Canadian citizen,1961,Quebec,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,59,2,2,2,1,0
Canadian citizen,1994,Nova Scotia,Liberal Party,Master's degree,A man,1,26,1,1,3,1,1
Canadian citizen,1958,Ontario,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,62,3,3,2,2,1
Canadian citizen,1980,Quebec,Conservative Party,Some university,A man,0,40,1,2,2,3,1
Canadian citizen,1963,Ontario,Liberal Party,Master's degree,A woman,1,57,2,3,3,1,0
Canadian citizen,1948,Quebec,Conservative Party,"Some technical, community college, CEGEP, College Classique",A woman,0,72,3,2,2,1,0
Canadian citizen,1967,Quebec,Conservative Party,Professional degree or doctorate,A man,0,53,2,2,3,3,1
Canadian citizen,1988,Manitoba,Conservative Party,Bachelor's degree,A man,0,32,1,4,3,1,1
Canadian citizen,1970,Ontario,Conservative Party,Master's degree,A man,0,50,2,3,3,3,1
Canadian citizen,1971,Ontario,Liberal Party,Bachelor's degree,A woman,1,49,2,3,3,2,0
Canadian citizen,1947,Ontario,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A man,0,73,3,3,2,1,1
Canadian citizen,1959,Ontario,Liberal Party,Bachelor's degree,A woman,1,61,3,3,3,1,0
Canadian citizen,2000,Ontario,Liberal Party,Completed secondary/ high school,A woman,1,20,1,3,2,1,0
Canadian citizen,1957,Ontario,Conservative Party,Some university,A woman,0,63,3,3,2,1,0
Canadian citizen,1995,Quebec,Liberal Party,Bachelor's degree,A man,1,25,1,2,3,1,1
Canadian citizen,1985,Quebec,Liberal Party,"Some technical, community college, CEGEP, College Classique",A man,1,35,1,2,2,1,1
Canadian citizen,1971,Ontario,Liberal Party,Bachelor's degree,A man,1,49,2,3,3,1,1
Canadian citizen,1987,Alberta,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A man,1,33,1,4,2,1,1
Canadian citizen,1955,Quebec,Conservative Party,Completed secondary/ high school,A man,0,65,3,2,2,1,1
Canadian citizen,1943,Ontario,Liberal Party,Bachelor's degree,A man,1,77,3,3,3,1,1
Canadian citizen,1944,Newfoundland and Labrador,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,76,3,1,2,1,0
Canadian citizen,1951,Ontario,Liberal Party,Some university,A woman,1,69,3,3,2,1,0
Canadian citizen,1972,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,48,2,3,2,1,0
Canadian citizen,1988,Ontario,Liberal Party,Some university,A woman,1,32,1,3,2,1,0
Canadian citizen,1950,Nova Scotia,Liberal Party,Bachelor's degree,A man,1,70,3,1,3,3,1
Canadian citizen,1958,Ontario,Conservative Party,Completed secondary/ high school,A man,0,62,3,3,2,1,1
Canadian citizen,1974,Quebec,Conservative Party,Professional degree or doctorate,A woman,0,46,2,2,3,3,0
Canadian citizen,1938,Ontario,Liberal Party,"Some technical, community college, CEGEP, College Classique",A man,1,82,4,3,2,1,1
Canadian citizen,1951,Newfoundland and Labrador,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,69,3,1,2,1,0
Canadian citizen,1960,Quebec,Liberal Party,Some university,A woman,1,60,2,2,2,1,0
Canadian citizen,1950,Ontario,Conservative Party,"Some technical, community college, CEGEP, College Classique",A man,0,70,3,3,2,1,1
Canadian citizen,1955,Ontario,Conservative Party,Completed secondary/ high school,A man,0,65,3,3,2,1,1
Canadian citizen,1949,Ontario,Liberal Party,Bachelor's degree,A woman,1,71,3,3,3,2,0
Canadian citizen,1984,Ontario,Conservative Party,Completed secondary/ high school,A man,0,36,1,3,2,1,1
Canadian citizen,1948,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A man,1,72,3,3,2,1,1
Canadian citizen,1980,Quebec,Liberal Party,Completed secondary/ high school,A man,1,40,1,2,2,1,1
Canadian citizen,1971,Newfoundland and Labrador,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,49,2,1,2,1,0
Canadian citizen,1980,Quebec,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,40,1,2,2,1,0
Canadian citizen,1968,Quebec,Conservative Party,Bachelor's degree,A man,0,52,2,2,3,1,1
Canadian citizen,1955,Ontario,Liberal Party,Bachelor's degree,A woman,1,65,3,3,3,1,0
Canadian citizen,1963,Ontario,Conservative Party,Bachelor's degree,A woman,0,57,2,3,3,1,0
Canadian citizen,1947,Ontario,Liberal Party,"Some technical, community college, CEGEP, College Classique",A man,1,73,3,3,2,1,1
Canadian citizen,1937,Nova Scotia,Liberal Party,Some university,A woman,1,83,4,1,2,1,0
Canadian citizen,1970,Quebec,Liberal Party,Completed secondary/ high school,A woman,1,50,2,2,2,1,0
Canadian citizen,1969,Ontario,Liberal Party,Some university,A woman,1,51,2,3,2,1,0
Canadian citizen,1953,Ontario,Liberal Party,Some secondary/ high school,A man,1,67,3,3,1,1,1
Canadian citizen,1963,Ontario,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,57,2,3,2,3,0
Canadian citizen,1958,Quebec,Liberal Party,Bachelor's degree,A man,1,62,3,2,3,3,1
Canadian citizen,1972,British Columbia,Liberal Party,Master's degree,A man,1,48,2,5,3,1,1
Canadian citizen,1975,Ontario,Liberal Party,Bachelor's degree,A woman,1,45,2,3,3,1,0
Canadian citizen,1974,Quebec,Conservative Party,Master's degree,A man,0,46,2,2,3,3,1
Canadian citizen,1979,Ontario,Liberal Party,Bachelor's degree,A man,1,41,2,3,3,2,1
Canadian citizen,1973,Quebec,Liberal Party,Bachelor's degree,A man,1,47,2,2,3,1,1
Canadian citizen,1962,Ontario,Conservative Party,Completed secondary/ high school,A man,0,58,2,3,2,1,1
Canadian citizen,1986,Ontario,Liberal Party,Professional degree or doctorate,A man,1,34,1,3,3,2,1
Canadian citizen,1952,Quebec,Conservative Party,"Completed technical, community college, CEGEP, College Classique",A woman,0,68,3,2,2,1,0
Canadian citizen,1964,Quebec,Liberal Party,Bachelor's degree,A woman,1,56,2,2,3,1,0
Canadian citizen,1944,Ontario,Liberal Party,Bachelor's degree,A man,1,76,3,3,3,1,1
Canadian citizen,1964,Ontario,Liberal Party,Bachelor's degree,A woman,1,56,2,3,3,1,0
Canadian citizen,2000,Quebec,Liberal Party,"Completed technical, community college, CEGEP, College Classique",A woman,1,20,1,2,2,3,0
Canadian citizen,1952,Ontario,Conservative Party,Bachelor's degree,A woman,0,68,3,3,3,1,0
Canadian citizen,1951,Quebec,Liberal Party,Completed secondary/ high school,A woman,1,69,3,2,2,1,0
Canadian citizen,1951,Alberta,Conservative Party,Completed secondary/ high school,A man,0,69,3,4,2,1,1
Canadian citizen,1984,Ontario,Liberal Party,Bachelor's degree,A woman,1,36,1,3,3,1,0
Canadian citizen,1958,Ontario,Liberal Party,Bachelor's degree,A man,1,62,3,3,3,3,1
